city,city_id,country,type_name,rides_badbid_cnt,rides_cnt,badbids_share,badbid_ratio_avg,rides_at_risk
Nacozari de Garcia,24512,Mexico,auto_econom,0,1,0,,0
Itapetinga,21951,Brazil,auto_econom,0,1,0,,0
Nanuque,22133,Brazil,auto_econom,0,1,0,,0
Bituima,22644,Colombia,auto_econom,0,1,0,,0
Piumhi,22266,Brazil,auto_econom,0,1,0,,0
Maní,23039,Colombia,auto_econom,0,1,0,,0
Santa Maria do Par,22372,Brazil,auto_econom,0,1,0,,0
Barra do Garças,21578,Brazil,intercity_buses,0,1,0,,0
Cachoeira do Campo,32642,Brazil,auto_econom,0,1,0,,0
Juína,22008,Brazil,auto_econom,0,1,0,,0
Barroso,32242,Brazil,auto_econom,0,1,0,,0
Prado,42811,Colombia,auto_econom,0,1,0,,0
Tamazula de Gordiano,24902,Mexico,auto_econom,0,1,0,,0
Coroatá,21765,Brazil,auto_econom,0,1,0,,0
Rio Casca,32473,Brazil,auto_econom,0,1,0,,0
Pau dos Ferros,22219,Brazil,auto_econom,0,1,0,,0
Pederneiras,22222,Brazil,auto_econom,0,1,0,,0
Roncesvalles,22832,Colombia,auto_econom,0,1,0,,0
Indaparapeo,24640,Mexico,auto_econom,0,1,0,,0
Jordán,22600,Colombia,auto_econom,0,1,0,,0
Açu,21476,Brazil,auto_econom,0,1,0,,0
San Quintin,24244,Mexico,auto_econom,0,1,0,,0
La Macarena,23356,Colombia,auto_econom,0,1,0,,0
Cansahcab,24219,Mexico,auto_econom,0,1,0,,0
San Jose de Gracia,24237,Mexico,auto_econom,0,1,0,,0
Valle de Juarez,24308,Mexico,auto_econom,0,1,0,,0
Buerarema,32269,Brazil,auto_econom,0,1,0,,0
Uruaçu,22559,Brazil,auto_econom,0,1,0,,0
Santana,7382,Brazil,auto_econom,0,1,0,,0
Piripiri,22262,Brazil,auto_econom,0,1,0,,0
Telchac Pueblo,24143,Mexico,auto_econom,0,1,0,,0
Canoinhas,21696,Brazil,auto_econom,0,1,0,,0
Mariana,22074,Brazil,auto_econom,0,1,0,,0
Puerres,22948,Colombia,auto_econom,0,1,0,,0
Los Andes,23141,Colombia,auto_econom,0,1,0,,0
Alfajayucan,23989,Mexico,auto_econom,0,1,0,,0
Ometepec,24774,Mexico,auto_econom,0,1,0,,0
Gurupi,21876,Brazil,auto_econom,0,1,0,,0
Уральск,238,Казахстан,6-seater XL,30,134,0.394,1.205,0.224
Vanegas,24384,Mexico,auto_econom,0,1,0,,0
Itapuranga,21959,Brazil,auto_econom,0,1,0,,0
El Peñón,22784,Colombia,auto_econom,0,1,0,,0
Arcoverde,21545,Brazil,auto_econom,0,1,0,,0
Cumaribo,22734,Colombia,auto_econom,0,1,0,,0
Ciudad Ixtepec,24763,Mexico,auto_econom,0,1,0,,0
Guaçuí,21859,Brazil,auto_econom,0,1,0,,0
Zapotiltic,24870,Mexico,auto_econom,0,1,0,,0
Palmares,22187,Brazil,auto_econom,0,1,0,,0
Corupá,32414,Brazil,auto_econom,0,1,0,,0
Бишкек,639,Кыргызстан,6-seater XL,28,134,0.385,1.133,0.209
Teorama,23155,Colombia,auto_econom,0,1,0,,0
San Pedro de Urabá,23355,Colombia,auto_econom,0,1,0,,0
Huaniqueo,24391,Mexico,auto_econom,0,1,0,,0
Ecatzingo,43264,Mexico,auto_econom,0,1,0,,0
San Juanito,24475,Mexico,auto_econom,0,1,0,,0
Além Paraíba,21495,Brazil,auto_econom,0,1,0,,0
Liborina,22995,Colombia,auto_econom,0,1,0,,0
Banamichi,23987,Mexico,auto_econom,0,1,0,,0
Mezquital del Oro,23980,Mexico,auto_econom,0,1,0,,0
Villa Pesqueira,23999,Mexico,auto_econom,0,1,0,,0
Buenos Aires,5483,Argentina,6-seater XL,90,449,0.288,1.179,0.2
Ciénaga,4579,Colombia,Rickshaw,0,1,0,,0
Cerro Azul,24769,Mexico,auto_econom,0,1,0,,0
Acultzingo,24357,Mexico,auto_econom,0,1,0,,0
Nandaime,8142,Nicaragua,moto_econom,1,5,0.235,1.192,0.2
São Raimundo Nonato,22460,Brazil,auto_econom,0,1,0,,0
El Grullo,24747,Mexico,auto_econom,0,1,0,,0
Villa de Ramos,24893,Mexico,auto_econom,0,1,0,,0
Kolkata,5257,India,moto_econom,122903,614358,0.171,1.067,0.2
Llera de Canales,24189,Mexico,auto_econom,0,1,0,,0
Lavinia,38287,Brazil,auto_econom,0,1,0,,0
Igarapé-Miri,21900,Brazil,auto_econom,0,1,0,,0
Ibadan,4347,Nigeria,moto_econom,1,5,0.104,1.063,0.2
Trinidad,5503,Bolivia,moto_econom,1,5,0.039,1.081,0.2
Atoyac de alvarez,24741,Mexico,auto_econom,0,1,0,,0
Otacílio Costa,32314,Brazil,auto_econom,0,1,0,,0
Oliveira,22167,Brazil,auto_econom,0,1,0,,0
Ahmedabad,6369,India,moto_econom,7,36,0.283,1.102,0.194
Huimanguillo,24812,Mexico,auto_econom,0,1,0,,0
Remanso,22318,Brazil,auto_econom,0,1,0,,0
Ataco,23277,Colombia,auto_econom,0,1,0,,0
Vehari,23630,Pakistan,moto_econom,10,52,0.217,1.1,0.192
Badiraguato,24150,Mexico,auto_econom,0,1,0,,0
Morungaba,38261,Brazil,auto_econom,0,1,0,,0
Taquara,22508,Brazil,auto_econom,0,1,0,,0
Ozumba,43273,Mexico,auto_econom,0,1,0,,0
Hueyotlipan,24600,Mexico,auto_econom,0,1,0,,0
Atenango del Rio,24075,Mexico,auto_econom,0,1,0,,0
Chilapa de alvarez,24846,Mexico,auto_econom,0,1,0,,0
Puerto Triunfo,23103,Colombia,auto_econom,0,1,0,,0
Piquete,32349,Brazil,auto_econom,0,1,0,,0
Sarandi,22471,Brazil,auto_econom,0,1,0,,0
Sabanas de San Angel,23142,Colombia,auto_econom,0,1,0,,0
Ebano,24913,Mexico,auto_econom,0,1,0,,0
Mogi Guaçu,5082,Brazil,moto_econom,0,1,0,,0
Santa Cruz do Rio Pardo,22360,Brazil,auto_econom,0,1,0,,0
Placas,22267,Brazil,auto_econom,0,1,0,,0
São João Nepomuceno,22430,Brazil,auto_econom,0,1,0,,0
São José do Divino,43548,Brazil,auto_econom,0,1,0,,0
Rolim de Moura,22342,Brazil,auto_econom,0,1,0,,0
Morales,23245,Colombia,auto_econom,0,1,0,,0
Nilo Peçanha,42996,Brazil,auto_econom,0,1,0,,0
Cuiabá,4536,Brazil,Ride AC,0,1,0,,0
Creel,24245,Mexico,auto_econom,0,1,0,,0
Ouro Preto do Oeste,22180,Brazil,auto_econom,0,1,0,,0
