ratio_bin_start,normalized_frequency
24.25,5.3237037548857475e-08
24.3,1.0055884870339745e-07
24.35,1.0647407509771495e-07
24.400000000000002,7.8869685257566639e-08
24.450000000000003,7.8869685257566639e-08
24.5,9.4643622309079956e-08
24.55,8.4784911651884136e-08
24.6,6.506749033749247e-08
24.650000000000002,8.67566537833233e-08
24.700000000000003,8.8728395914762458e-08
24.75,9.0700138046201633e-08
24.8,1.1436104362347162e-07
24.85,1.0450233296627579e-07
24.900000000000002,9.8587106571958292e-08
24.950000000000003,8.2813169520444961e-08
25.0,8.8728395914762458e-08
25.05,6.3095748206053308e-08
25.1,1.0844581722915412e-07
25.150000000000002,1.1238930149203245e-07
25.200000000000003,7.49262009946883e-08
25.25,9.661536444051913e-08
25.3,1.0450233296627579e-07
25.35,8.08414273890058e-08
25.400000000000002,1.0055884870339745e-07
25.450000000000003,5.1265295417418314e-08
25.5,8.4784911651884136e-08
25.55,8.08414273890058e-08
25.6,6.90109746003708e-08
25.650000000000002,7.2954458863249141e-08
25.700000000000003,5.9152263943174972e-08
25.75,1.0055884870339745e-07
25.8,7.6897943126127464e-08
25.85,4.5350069023100816e-08
25.900000000000002,6.90109746003708e-08
25.950000000000003,6.7039232468931644e-08
26.0,7.0982716731809967e-08
26.05,7.0982716731809967e-08
26.1,7.0982716731809967e-08
26.150000000000002,9.8587106571958292e-08
26.200000000000003,8.67566537833233e-08
26.25,9.0700138046201633e-08
26.3,4.9293553285979146e-08
26.35,8.4784911651884136e-08
26.400000000000002,4.9293553285979146e-08
26.450000000000003,8.08414273890058e-08
26.5,5.3237037548857475e-08
26.55,9.661536444051913e-08
26.6,7.8869685257566639e-08
26.650000000000002,7.49262009946883e-08
26.700000000000003,4.9293553285979146e-08
26.75,5.9152263943174972e-08
26.8,8.4784911651884136e-08
26.85,8.67566537833233e-08
26.900000000000002,7.49262009946883e-08
26.950000000000003,3.9434842628783319e-08
27.0,8.2813169520444961e-08
27.05,5.3237037548857475e-08
27.1,8.8728395914762458e-08
27.150000000000002,5.3237037548857475e-08
27.200000000000003,7.8869685257566639e-08
27.25,7.2954458863249141e-08
27.3,8.8728395914762458e-08
27.35,4.1406584760222481e-08
27.400000000000002,5.1265295417418314e-08
27.450000000000003,8.4784911651884136e-08
27.5,6.506749033749247e-08
27.55,8.08414273890058e-08
27.6,3.5491358365904983e-08
27.650000000000002,6.7039232468931644e-08
27.700000000000003,6.506749033749247e-08
27.75,8.08414273890058e-08
27.8,4.9293553285979146e-08
27.85,7.6897943126127464e-08
27.900000000000002,5.7180521811735811e-08
27.950000000000003,3.5491358365904983e-08
28.0,6.90109746003708e-08
28.05,5.9152263943174972e-08
28.1,8.8728395914762458e-08
28.150000000000002,6.506749033749247e-08
28.200000000000003,7.6897943126127464e-08
28.25,6.7039232468931644e-08
28.3,2.7604389840148322e-08
28.35,6.1124006074614147e-08
28.400000000000002,5.7180521811735811e-08
28.450000000000003,8.08414273890058e-08
28.5,6.1124006074614147e-08
28.55,7.2954458863249141e-08
28.6,7.8869685257566639e-08
28.650000000000002,5.1265295417418314e-08
28.700000000000003,4.5350069023100816e-08
28.75,5.3237037548857475e-08
28.8,4.3378326891661649e-08
28.85,7.0982716731809967e-08
28.900000000000002,8.67566537833233e-08
28.950000000000003,7.8869685257566639e-08
29.0,4.3378326891661649e-08
29.05,4.1406584760222481e-08
29.1,2.9576131971587486e-08
29.150000000000002,5.1265295417418314e-08
29.200000000000003,5.7180521811735811e-08
29.25,6.7039232468931644e-08
29.3,6.506749033749247e-08
29.35,5.3237037548857475e-08
29.400000000000002,6.506749033749247e-08
29.450000000000003,3.3519616234465822e-08
29.5,7.0982716731809967e-08
29.55,7.6897943126127464e-08
